seed,test_window_index,scale,router_weight
42,246,2,0.169891357421875
42,246,4,0.5820963382720947
42,247,1,0.24310089647769928
42,247,2,0.16787745058536527
42,247,4,0.5890216827392578
42,248,1,0.25932627916336054
42,248,2,0.17447984218597412
42,248,4,0.5661939382553101
42,249,1,0.2448246031999588
42,249,2,0.16868893802165985
42,249,4,0.5864865183830261
42,250,1,0.21345384418964383
42,250,2,0.15308277308940887
42,250,4,0.6334633827209473
42,251,1,0.20211702585220337
42,251,2,0.14584192633628845
42,251,4,0.6520411372184753
42,252,1,0.19387894868850708
42,252,2,0.14026223123073575
42,252,4,0.6658587455749512
42,253,1,0.19243255257606504
42,253,2,0.1390886902809143
42,253,4,0.668478786945343
42,254,1,0.19297899305820465
42,254,2,0.139512836933136
42,254,4,0.6675082445144653
42,255,1,0.18804724514484403
42,255,2,0.13552941381931305
42,255,4,0.6764233708381653
42,256,1,0.19099818170070648
42,256,2,0.13788357377052307
42,256,4,0.6711182594299316
42,257,1,0.1920001804828644
42,257,2,0.1386384069919586
42,257,4,0.6693613529205321
42,258,1,0.1952058970928192
42,258,2,0.14105263352394104
42,258,4,0.6637414693832396
42,259,1,0.19792006909847257
42,259,2,0.1428500264883041
42,259,4,0.6592298746109009
42,260,1,0.2047158032655716
42,260,2,0.14719152450561523
42,260,4,0.6480926275253296
42,261,1,0.20846004784107208
42,261,2,0.14958159625530243
42,261,4,0.6419583559036255
42,262,1,0.2116408497095108
42,262,2,0.15152648091316223
42,262,4,0.6368326544761658
42,263,1,0.21369194984436035
42,263,2,0.1528109759092331
42,263,4,0.63349711894989
42,264,1,0.21312536299228668
42,264,2,0.15242134034633636
42,264,4,0.634453296661377
42,265,1,0.21703886985778809
42,265,2,0.15481863915920255
42,265,4,0.6281424760818481
42,266,1,0.21761298179626465
42,266,2,0.1551350504159927
42,266,4,0.6272519826889038
42,267,1,0.2250821441411972
42,267,2,0.15947161614894867
42,267,4,0.6154462695121765
42,268,1,0.22591958940029144
42,268,2,0.1597698479890823
42,268,4,0.6143105030059814
42,269,1,0.23169638216495517
42,269,2,0.1622900515794754
42,269,4,0.6060135364532471
42,270,1,0.232244536280632
42,270,2,0.1624474823474884
42,270,4,0.6053079962730408
42,271,1,0.2325897514820099
42,271,2,0.16248856484889984
42,271,4,0.6049216389656067
42,272,1,0.2375546842813492
42,272,2,0.16448809206485748
42,272,4,0.5979571938514708
42,273,1,0.236152246594429
42,273,2,0.16382651031017303
42,273,4,0.6000213027000427
42,274,1,0.2124023288488388
42,274,2,0.15166114270687103
42,274,4,0.6359366178512573
42,275,1,0.19991184771060944
42,275,2,0.1436578780412674
42,275,4,0.6564302444458008
42,276,1,0.19360481202602384
42,276,2,0.13950812816619873
42,276,4,0.6668870449066162
42,277,1,0.18979166448116305
42,277,2,0.13689547777175903
42,277,4,0.6733129620552063
42,278,1,0.1888817399740219
42,278,2,0.13616223633289337
42,278,4,0.67495596408844
42,279,1,0.1855575889348984
42,279,2,0.13371165096759796
42,279,4,0.6807307600975037
42,280,1,0.1852553188800812
42,280,2,0.13342992961406708
42,280,4,0.6813147664070128
42,281,1,0.19051593542099
42,281,2,0.13690991699695587
42,281,4,0.6725741624832153
42,282,1,0.19243572652339933
42,282,2,0.1380501687526703
42,282,4,0.6695140600204468
42,283,1,0.20092041790485385
42,283,2,0.14334809780120847
